city_id,city,country,probability_tif,map_preview,is_training_city
4416,Kananga,Democratic Republic of the Congo,city_probability_maps/democratic-republic-of-the-congo/kananga_4416/morphological_informality_probability.tif,city_probability_maps/democratic-republic-of-the-congo/kananga_4416/map_preview.png,false
4605,Cairo,Egypt,city_probability_maps/egypt/cairo_4605/morphological_informality_probability.tif,city_probability_maps/egypt/cairo_4605/map_preview.png,false
4787,Durban,South Africa,city_probability_maps/south-africa/durban_4787/morphological_informality_probability.tif,city_probability_maps/south-africa/durban_4787/map_preview.png,false
4952,Kasaï-Oriental,Democratic Republic of the Congo,city_probability_maps/democratic-republic-of-the-congo/kasai-oriental_4952/morphological_informality_probability.tif,city_probability_maps/democratic-republic-of-the-congo/kasai-oriental_4952/map_preview.png,false
5167,El Mansura,Egypt,city_probability_maps/egypt/el-mansura_5167/morphological_informality_probability.tif,city_probability_maps/egypt/el-mansura_5167/map_preview.png,false
5862,Addis Ababa,Ethiopia,city_probability_maps/ethiopia/addis-ababa_5862/morphological_informality_probability.tif,city_probability_maps/ethiopia/addis-ababa_5862/map_preview.png,false
5918,Al Zaqaziq,Egypt,city_probability_maps/egypt/al-zaqaziq_5918/morphological_informality_probability.tif,city_probability_maps/egypt/al-zaqaziq_5918/map_preview.png,false
5935,Benin City,Nigeria,city_probability_maps/nigeria/benin-city_5935/morphological_informality_probability.tif,city_probability_maps/nigeria/benin-city_5935/map_preview.png,false
6009,Warri,Nigeria,city_probability_maps/nigeria/warri_6009/morphological_informality_probability.tif,city_probability_maps/nigeria/warri_6009/map_preview.png,false
6321,Lubumbashi,Democratic Republic of the Congo,city_probability_maps/democratic-republic-of-the-congo/lubumbashi_6321/morphological_informality_probability.tif,city_probability_maps/democratic-republic-of-the-congo/lubumbashi_6321/map_preview.png,false
6474,Okene,Nigeria,city_probability_maps/nigeria/okene_6474/morphological_informality_probability.tif,city_probability_maps/nigeria/okene_6474/map_preview.png,false
6776,Asyut,Egypt,city_probability_maps/egypt/asyut_6776/morphological_informality_probability.tif,city_probability_maps/egypt/asyut_6776/map_preview.png,false
7054,Beni,Democratic Republic of the Congo,city_probability_maps/democratic-republic-of-the-congo/beni_7054/morphological_informality_probability.tif,city_probability_maps/democratic-republic-of-the-congo/beni_7054/map_preview.png,false
7092,Onitsha,Nigeria,city_probability_maps/nigeria/onitsha_7092/morphological_informality_probability.tif,city_probability_maps/nigeria/onitsha_7092/map_preview.png,false
7093,Suhaj,Egypt,city_probability_maps/egypt/suhaj_7093/morphological_informality_probability.tif,city_probability_maps/egypt/suhaj_7093/map_preview.png,false
7131,Owerri,Nigeria,city_probability_maps/nigeria/owerri_7131/morphological_informality_probability.tif,city_probability_maps/nigeria/owerri_7131/map_preview.png,false
7222,Luxor,Egypt,city_probability_maps/egypt/luxor_7222/morphological_informality_probability.tif,city_probability_maps/egypt/luxor_7222/map_preview.png,false
7426,Aboh,Nigeria,city_probability_maps/nigeria/aboh_7426/morphological_informality_probability.tif,city_probability_maps/nigeria/aboh_7426/map_preview.png,false
7471,Abuja,Nigeria,city_probability_maps/nigeria/abuja_7471/morphological_informality_probability.tif,city_probability_maps/nigeria/abuja_7471/map_preview.png,false
7516,Kaduna,Nigeria,city_probability_maps/nigeria/kaduna_7516/morphological_informality_probability.tif,city_probability_maps/nigeria/kaduna_7516/map_preview.png,false
7543,Aba,Nigeria,city_probability_maps/nigeria/aba_7543/morphological_informality_probability.tif,city_probability_maps/nigeria/aba_7543/map_preview.png,false
7716,Enugu,Nigeria,city_probability_maps/nigeria/enugu_7716/morphological_informality_probability.tif,city_probability_maps/nigeria/enugu_7716/map_preview.png,false
7961,Uyo,Nigeria,city_probability_maps/nigeria/uyo_7961/morphological_informality_probability.tif,city_probability_maps/nigeria/uyo_7961/map_preview.png,false
8125,Kano,Nigeria,city_probability_maps/nigeria/kano_8125/morphological_informality_probability.tif,city_probability_maps/nigeria/kano_8125/map_preview.png,false
8564,Maiduguri,Nigeria,city_probability_maps/nigeria/maiduguri_8564/morphological_informality_probability.tif,city_probability_maps/nigeria/maiduguri_8564/map_preview.png,false
